Team,Date,Opponent,FIFA Rank at Time,Result (W/L/D),Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
Brazil,10/06/2025,Paraguay,40,W,11,4,1,5,1,0
Brazil,05/06/2025,Ecuador,23,D,3,2,0,7,3,0
Brazil,25/03/2025,Argentina,3,L,3,1,1,12,7,4
Brazil,20/03/2025,Colombia,13,W,17,7,2,10,3,1
Brazil,19/11/2024,Uruguay,17,D,18,3,1,8,2,1
Brazil,14/11/2024,Venezuela,49,D,13,3,1,12,5,1
Brazil,15/10/2024,Peru,53,W,18,8,4,3,2,0
Brazil,10/10/2024,Chile,54,W,14,4,2,7,1,1
Brazil,06/09/2024,Ecuador,23,W,10,3,1,9,2,0
Brazil,10/09/2024,Paraguay,40,L,9,3,0,7,2,1
Brazil,06/07/2024,Uruguay (Copa Am. QF),17,D,7,3,0,12,1,0
Brazil,02/07/2024,Colombia (Copa Am. GS),13,D,16,4,1,10,5,1
Canada,18/11/2025,Venezuela,48,W,8,4,2,10,3,0
Canada,13/11/2025,Ecuador,23,D,4,1,0,4,0,0
Canada,14/10/2025,Colombia,13,D,7,2,0,11,3,0
Canada,10/10/2025,Australia,26,L,17,8,0,5,1,1
Canada,09/09/2025,Wales,32,W,12,2,1,6,2,0
Canada,05/09/2025,Romania,47,W,16,8,3,11,2,0
Canada,29/06/2025,Guatemala,106,D,4,1,1,8,2,1
Canada,24/06/2025,El Salvador,81,W,14,4,2,2,0,0
Canada,21/06/2025,Curacao,86,D,11,4,1,6,2,1
Canada,17/06/2025,Honduras,65,W,20,8,6,7,4,0
Canada,10/06/2025,Ivory Coast,41,D,8,0,0,10,1,0
Canada,07/06/2025,Ukraine,27,W,12,6,4,13,8,2
Canada,23/03/2025,United States,15,W,10,4,2,9,3,1
Canada,20/03/2025,Mexico,16,L,9,3,0,12,5,2
Canada,19/11/2024,Suriname,137,W,16,7,3,5,1,0
Canada,15/11/2024,Suriname,137,W,12,4,1,6,1,0
Canada,15/10/2024,Panama,31,W,11,4,2,8,3,1
Canada,10/09/2024,Mexico,16,D,5,1,0,14,2,0
Canada,07/09/2024,United States,15,W,17,7,2,8,2,1
Canada,13/07/2024,Uruguay,11,D,14,6,2,12,5,2
Cape Verde,30/03/2026,Finland,73,D,15,3,1,12,7,1
Cape Verde,27/03/2026,Chile,54,L,9,3,2,9,5,4
Cape Verde,19/11/2024,Mauritania,115,L,8,3,0,12,7,1
Cape Verde,15/11/2024,Egypt,29,D,7,2,1,9,6,1
Cape Verde,15/10/2024,Botswana,146,L,14,3,0,7,3,1
Cape Verde,10/10/2024,Botswana,146,L,25,5,0,5,3,1
Cape Verde,10/09/2024,Mauritania,115,W,8,2,2,14,5,0
Cape Verde,06/09/2024,Egypt,29,L,12,1,0,14,8,3
Colombia,29/03/2026,France,1,L,13,5,1,14,5,3
Colombia,27/03/2026,Croatia,11,L,14,5,1,12,3,2
Colombia,10/09/2025,Venezuela,49,W,13,9,6,11,8,3
Colombia,05/09/2025,Bolivia,76,W,12,8,3,9,3,0
Colombia,11/06/2025,Argentina,3,D,11,5,1,10,3,1
Colombia,06/06/2025,Peru,53,D,15,0,0,4,1,0
Colombia,21/03/2025,Brazil,6,L,10,3,1,17,7,2
Colombia,15/07/2024,Argentina,3,L,19,9,0,11,5,1
Colombia,11/07/2024,Uruguay,17,W,11,3,1,10,3,0
Colombia,07/07/2024,Panama,33,W,7,5,5,15,2,0
Colombia,03/07/2024,Brazil,6,D,13,6,1,7,3,1
Colombia,29/06/2024,Costa Rica,51,W,16,8,3,5,0,0
Colombia,25/06/2024,Paraguay,40,W,12,3,2,11,2,1
Congo Dr,31/03/2026,Jamaica,71,W,19,3,1,6,1,0
Congo Dr,06/01/2026,Algeria,28,L,5,2,0,8,3,1
Congo Dr,30/12/2025,Botswana,146,W,28,6,3,6,1,0
Congo Dr,27/12/2025,Senegal,14,D,3,3,1,7,3,1
Congo Dr,23/12/2025,Benin,90,W,11,3,1,12,2,0
Congo Dr,16/11/2025,Nigeria,26,D,10,8,1,11,2,1
Congo Dr,13/11/2025,Cameroon,45,W,10,2,1,7,3,0
Congo Dr,14/10/2025,Sudan,117,W,9,3,1,3,0,0
Congo Dr,10/10/2025,Togo,121,W,4,1,1,3,2,0
Congo Dr,09/09/2025,Senegal,14,L,7,4,2,11,6,3
Congo Dr,05/09/2025,South Sudan,170,W,11,8,4,7,5,1
Congo Dr,17/08/2025,Morocco,8,L,14,3,1,6,4,3
Congo Dr,14/08/2025,Angola,89,W,13,6,2,20,7,0
Congo Dr,07/08/2025,Zambia,92,W,6,2,2,4,2,0
Congo Dr,03/08/2025,Kenya,111,L,20,2,0,8,2,1
Croatia,31/03/2026,Brazil,6,L,12,3,1,13,7,3
Croatia,26/03/2026,Colombia,13,W,12,3,2,14,5,1
Croatia,17/11/2025,Montenegro,75,W,17,7,3,12,5,2
Croatia,14/11/2025,Faroe Islands,127,W,20,4,3,4,4,1
Croatia,12/10/2025,Gibraltar,196,W,28,10,3,1,0,0
Croatia,09/10/2025,Czechia,41,D,10,2,0,11,2,0
Croatia,08/09/2025,Montenegro,75,W,32,13,4,3,1,0
Croatia,05/09/2025,Faroe Islands,127,W,26,8,1,6,3,0
Croatia,09/06/2025,Czechia,41,W,18,11,5,14,5,1
Croatia,06/06/2025,Gibraltar,196,W,30,13,7,3,0,0
Croatia,23/03/2025,France,1,L,5,0,0,28,8,2
Croatia,20/03/2025,France,1,W,8,4,2,16,6,0
Croatia,18/11/2024,Portugal,5,D,15,8,1,12,5,1
Croatia,15/11/2024,Scotland,43,L,12,4,0,8,2,1
Croatia,15/10/2024,Poland,35,D,15,8,3,14,6,3
Croatia,12/10/2024,Scotland,43,W,17,6,2,9,2,1
Croatia,08/09/2024,Poland,35,W,23,6,1,11,2,0
Croatia,05/09/2024,Portugal,5,L,13,4,1,15,6,2
Croatia,24/06/2024,Italy,12,D,6,4,1,13,3,1
Croatia,19/06/2024,Albania,65,D,22,10,2,15,7,2
Curacao,31/03/2026,Australia,27,L,7,4,1,11,6,5
Curacao,27/03/2026,China,94,L,8,1,0,11,3,2
Curacao,18/11/2025,Jamaica,71,D,16,5,0,13,1,0
Curacao,13/11/2025,Bermuda,166,W,27,15,7,5,1,0
Curacao,14/10/2025,Trinidad and Tobago,102,D,9,1,1,16,6,1
Curacao,10/10/2025,Jamaica,71,W,7,4,2,18,7,0
Curacao,09/09/2025,Bermuda,166,W,22,10,3,6,3,2
Curacao,05/09/2025,Trinidad and Tobago,102,D,5,2,0,13,6,0
Curacao,24/06/2025,Honduras,66,L,10,3,1,10,3,2
Curacao,21/06/2025,Canada,30,D,6,2,1,11,4,1
Curacao,17/06/2025,El Salvador,100,D,6,3,0,6,1,0
Czechia,31/03/2026,Denmark,20,D,9,4,2,22,8,2
Czechia,26/03/2026,Republic of Ireland,59,D,12,3,2,10,3,2
Czechia,17/11/2025,Gibraltar,203,W,25,10,6,0,0,0
Czechia,13/11/2025,San Marino,211,W,14,1,1,2,0,0
Czechia,12/10/2025,Faroe Islands,123,L,14,1,1,6,3,2
Czechia,09/10/2025,Croatia,11,D,11,2,0,10,2,0
Czechia,05/09/2025,Montenegro,81,W,20,10,2,22,5,0
Czechia,09/06/2025,Croatia,11,L,14,5,1,18,11,5
Czechia,06/06/2025,Montenegro,81,W,13,7,2,6,3,0
Czechia,25/03/2025,Gibraltar,203,W,29,12,4,1,0,0
Czechia,22/03/2025,Faroe Islands,123,W,16,7,2,5,3,1
Czechia,19/11/2024,Georgia,72,W,14,6,2,11,5,1
Czechia,16/11/2024,Albania,64,D,8,2,0,9,2,0
Czechia,14/10/2024,Ukraine,32,D,15,7,1,13,3,1
Czechia,11/10/2024,Albania,64,W,19,5,2,7,2,0
Czechia,10/09/2024,Ukraine,32,W,14,5,3,19,5,2
Czechia,07/09/2024,Georgia,72,L,10,5,1,13,6,4
Czechia,26/06/2024,Türkiye,22,L,12,7,1,18,5,2
Czechia,22/06/2024,Georgia,72,D,27,12,1,5,1,1
Czechia,18/06/2024,Portugal,5,L,5,1,1,19,8,2
Ecuador,31/03/2026,Netherlands,7,D,16,3,1,2,1,1
Ecuador,27/03/2026,Morocco,8,D,8,2,1,12,3,1
Ecuador,18/11/2025,New Zealand,85,W,24,8,2,10,2,0
Ecuador,14/11/2025,Canada,29,D,4,0,0,4,1,0
Ecuador,15/10/2025,Mexico,16,D,7,5,1,13,4,1
Ecuador,10/10/2025,USA,15,D,8,4,1,11,5,1
